Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
QVOY,6200,0,0.00,0,0.00,24.49,6200,0
DJUN,6103,0,0.00,0,0.00,42.89,6103,0
SMDV,6054,2,77.39,0,0.00,66.52,6054,0
TYA,6054,0,0.00,1,11.45,13.01,6054,0
NFLU,6026,2148,43.89,100,43.70,43.73,6026,0
NANC,5959,2,37.60,20,37.45,37.53,5959,0
SHYD,5841,0,0.00,0,0.00,22.71,5641,200
IYRI,5789,0,0.00,4,50.00,50.98,5689,100
HFGO,5771,0,0.00,0,0.00,22.11,5771,0
VSDM,5728,0,0.00,1,75.11,75.27,4944,784
JPIB,5713,0,0.00,0,0.00,47.84,5713,0
BTCL,5622,0,0.00,200,38.40,39.45,5622,0
IGRO,5309,0,0.00,0,0.00,73.48,3509,1800
VSGX,5272,0,0.00,0,0.00,60.58,5126,146
FLHY,5098,0,0.00,0,0.00,23.99,4844,254
RDTE,5048,1000,37.22,3,36.78,36.90,5048,0
ARKY,5039,0,0.00,0,0.00,28.98,5039,0
FFLG,5025,0,0.00,0,0.00,23.72,4938,87
IBHG,4900,0,0.00,0,0.00,22.41,4900,0
IETC,4890,5,80.17,0,0.00,80.03,4890,0
TMFE,4818,0,0.00,0,0.00,26.23,4818,0
FFLC,4808,350,46.35,300,43.00,45.19,4807,1
IVVB,4727,0,0.00,0,0.00,30.00,3427,1300
FIBR,4677,0,0.00,0,0.00,87.81,4677,0
XSHQ,4631,0,0.00,0,0.00,39.58,4631,0
UMAR,4582,0,0.00,0,0.00,36.04,4582,0
FDEM,4544,0,0.00,0,0.00,25.85,4544,0
MSSS,4520,0,0.00,0,0.00,27.87,4520,0
GSST,4439,0,0.00,0,0.00,50.48,4439,0
DRAG,4276,1,32.15,50,27.08,27.45,4276,0
IBHH,4207,0,0.00,0,0.00,23.49,4207,0
GARP,4177,0,0.00,0,0.00,54.18,4177,0
NUMV,4157,0,0.00,0,0.00,34.40,4157,0
FFSM,4110,0,0.00,0,0.00,26.09,4110,0
QBF,4053,0,0.00,0,0.00,23.00,4053,0
HYIN,4046,8,18.14,1,18.05,18.14,4046,0
MPRO,4037,0,0.00,0,0.00,29.05,4037,0
XJUL,4000,0,0.00,0,0.00,35.83,4000,0
IGE,3960,0,0.00,0,0.00,45.88,3960,0
SMMD,3950,0,0.00,0,0.00,64.85,3950,0
TMAR,3888,0,0.00,0,0.00,19.91,3888,0
INTL,3868,0,0.00,100,22.89,23.80,3868,0
FRDM,3792,0,0.00,3,36.36,36.43,3582,210
FAUG,3783,15,46.43,0,0.00,46.34,3783,0
RPHS,3752,0,0.00,0,0.00,9.88,3752,0
FLDR,3745,0,0.00,0,0.00,50.22,3745,0
EMHY,3733,0,0.00,14,38.25,38.53,3733,0
VFMV,3731,0,0.00,0,0.00,125.61,3731,0
IGLD,3681,0,0.00,1,20.40,20.44,3600,81
LQDI,3669,0,0.00,0,0.00,25.98,3669,0
AESR,3668,0,0.00,0,0.00,17.17,3668,0
EZET,3637,14000,15.69,11100,15.66,15.70,3637,0
BALI,3609,5,29.45,5,29.41,29.41,3609,0
IQDG,3582,0,0.00,0,0.00,37.03,3582,0
NUDV,3548,0,0.00,0,0.00,28.06,3548,0
SNOV,3524,0,0.00,0,0.00,22.58,3524,0
ACIO,3470,0,0.00,0,0.00,39.53,3470,0
EDGE,3450,0,0.00,0,0.00,38.02,3450,0
DAPR,3423,0,0.00,0,0.00,37.76,3423,0
PMAR,3423,0,0.00,0,0.00,40.59,3423,0
BSMC,3400,0,0.00,0,0.00,29.88,3400,0
MVFG,3389,0,0.00,0,0.00,25.19,3389,0
IGHG,3374,0,0.00,0,0.00,77.35,3374,0
HTUS,3311,0,0.00,0,0.00,37.39,3311,0
OSCV,3300,0,0.00,0,0.00,35.49,3300,0
SEIV,3282,0,0.00,0,0.00,33.15,3282,0
XMAR,3256,0,0.00,0,0.00,37.12,3256,0
DRSK,3220,0,0.00,0,0.00,27.95,3220,0
IBHK,3163,0,0.00,0,0.00,25.54,3163,0
WTAI,3124,1,32.26,1,20.11,20.85,3124,0
IBHE,3069,43,23.26,0,0.00,23.25,3069,0
MDPL,3046,0,0.00,0,0.00,26.06,3046,0
RSSB,3033,0,0.00,0,0.00,23.97,3033,0
XMPT,3008,18592,28.90,0,0.00,21.70,2716,292
FMAG,2972,0,0.00,0,0.00,30.42,2972,0
EYLD,2961,0,0.00,0,0.00,32.79,2961,0
ICLO,2957,200,25.51,200,25.37,25.49,2957,0
IBMP,2915,0,0.00,0,0.00,25.27,2915,0
VFMO,2898,0,0.00,0,0.00,159.66,2898,0
FCPI,2875,25,48.00,0,0.00,43.53,2875,0
JANZ,2871,0,0.00,0,0.00,33.85,2871,0
NVW,2826,700,41.07,700,40.00,40.41,2826,0
HEGD,2803,0,0.00,0,0.00,22.20,2803,0
BUFB,2748,0,0.00,0,0.00,32.14,2748,0
XJH,2724,0,0.00,0,0.00,40.20,2724,0
PJAN,2658,0,0.00,0,0.00,42.13,2442,216
PTMC,2640,0,0.00,0,0.00,34.55,2640,0
VTEI,2640,0,0.00,0,0.00,98.89,2640,0
IMFL,2582,0,0.00,0,0.00,25.21,2582,0
FYLD,2569,0,0.00,0,0.00,27.57,2569,0
OUSA,2561,12,55.00,0,0.00,53.08,2561,0
VFVA,2547,0,0.00,0,0.00,116.31,2547,0
PJUL,2512,0,0.00,0,0.00,41.00,2512,0
SAUG,2499,0,0.00,0,0.00,23.02,2499,0
PSDM,2489,0,0.00,0,0.00,51.07,2489,0
YMAR,2476,0,0.00,0,0.00,24.37,1720,756
QMFE,2473,0,0.00,0,0.00,19.55,2473,0
GAPR,2441,0,0.00,0,0.00,38.03,2441,0
FFEB,2431,0,0.00,0,0.00,49.85,2431,0
